gene_name	ID	num_exons	exons_length	gene_count_mean	is_filtered	NB_stat	NB_stat_exon	diff_exon
AT5G38410	AT5G38410.1	5	547,20,14,135,281,	22086.6666666667	FALSE	1057.34916531666	20.71,68.57,4.78,6.85,5185.83	5
AT3G63490	AT3G63490.1	8	396,180,55,128,84,9,116,473,	2444.16666666667	FALSE	959.136940555913	3302.31,1295.37,249.46,1027.96,544.54,2.48,898.06,352.93	1
AT3G56950	AT3G56950.2	7	63,123,104,161,261,475,24,	1299.5	FALSE	706.688734000187	1035.33,2558.16,93.37,187.39,396.8,641.3,34.46	2
AT5G20720	AT5G20720.1	9	81,2,176,180,156,78,276,24,33,	4885.83333333333	FALSE	518.627556082132	261.82,0.05,196.3,2642.17,661.97,258.25,103.28,25.19,NA	4
AT3G56940	AT3G56940.1	7	127,75,359,65,328,99,438,	11411	FALSE	313.074016403525	63.1,0.29,1014.03,11.43,957.5,67.85,77.32	3
AT3G56860	AT3G56860.1	8	492,110,68,114,222,13,350,1604,	5699.33333333333	FALSE	298.610169085655	661.57,87.91,126.43,291.54,493.42,10.06,629,88.96	1
AT2G24790	AT2G24790.1	3	640,85,505,	2994.33333333333	FALSE	287.504350740871	26.2,220.65,615.66	3
AT3G63500	AT3G63500.1	7	5,661,2162,521,249,101,2,	6567	FALSE	238.244921964324	36.43,239.94,1.86,1149.89,1.36,0,NA	4
AT5G09670	AT5G09670.1	4	2170,729,104,15,	2941	FALSE	233.084980920799	96.98,601.72,0.55,NA	2
AT4G01070	AT4G01070.1	4	290,399,1167,106,	3407.5	FALSE	210.185370494238	13.7,530.37,86.49,NA	2
AT4G08850	AT4G08850.1	3	494,310,2988,	5594.83333333333	FALSE	192.950507697442	410.38,167.76,0.7	1
AT5G21105	AT5G21105.1	8	340,93,213,398,198,810,381,202,	3315.16666666667	FALSE	188.182516547282	403.41,246.94,71.26,706.16,2.01,0.03,75.37,0.28	4
AT2G44120	AT2G44120.1	7	504,80,58,98,179,300,400,	2646.83333333333	FALSE	178.902998584708	2.25,0.97,0.05,2.13,57.42,511.48,678.02	7
AT3G15010	AT3G15010.1	4	1332,541,313,23,	1773.66666666667	FALSE	170.619739943018	74.26,429.97,7.63,NA	2
AT1G51200	AT1G51200.3	9	14,7,113,6,160,33,524,356,84,	4052.16666666667	FALSE	157.759167588981	0.34,1.41,55.04,9.15,367.21,204.49,4.98,550.7,226.52	8
AT3G15095	AT3G15095.1	7	127,131,187,61,319,1472,158,	5080	FALSE	155.746681802841	1.5,75.66,2.61,49.34,734.75,70.62,NA	5
AT5G28500	AT5G28500.1	3	825,324,463,	2999.83333333333	FALSE	135.105617307778	34.66,345.2,25.45	2
AT1G07200	AT1G07200.2	6	10,1794,4,238,14,1426,	2176	FALSE	122.621490609041	5.14,214.11,1.7,4.57,8.98,501.22	6
AT2G14560	AT2G14560.1	4	400,228,108,905,	1532.5	FALSE	120.830543840957	77.95,14.62,297.26,93.49	3
AT5G18130	AT5G18130.2	5	0,880,687,350,99,	1632.33333333333	FALSE	113.983090422577	0,66.26,353.04,36.63,NA	3
AT1G23440	AT1G23440.1	7	24,107,270,1169,105,48,461,	674.666666666667	FALSE	113.439931880598	5.8,0.22,31.75,425.5,60.43,34.41,235.96	4
AT3G51640	AT3G51640.1	5	183,1685,959,242,38,	852	FALSE	108.220640001946	26.86,339.71,133.44,20.89,20.2	2
AT5G42020	AT5G42020.1	9	526,163,31,718,243,215,268,162,58,	12734.6666666667	FALSE	108.195534540005	0.71,898.99,0.97,4.58,12.91,1.97,0.69,48.48,4.46	2
AT4G13830	AT4G13830.1	3	547,192,344,	806	FALSE	106.359996386333	24.95,187.77,NA	2
AT3G05220	AT3G05220.1	5	243,76,124,1771,5,	4217.5	FALSE	98.3675691166996	154.06,108,228.61,0.82,0.34	3
AT5G22090	AT5G22090.1	3	1863,109,156,	4843.33333333333	FALSE	93.1267631721609	5.69,180.56,NA	2
AT5G58320	AT5G58320.2	9	61,183,47,70,112,1338,92,4,258,	564.5	FALSE	92.3644585717324	0.05,0.33,23.19,29.97,1.41,302.88,1.51,4.1,467.83	9
AT3G16470	AT3G16470.1	9	416,450,462,209,21,34,16,363,32,	2845.83333333333	FALSE	89.944869592136	34.73,36.44,408.2,133.31,0.26,9.38,7.29,NA,NA	3
AT1G77180	AT1G77180.1	5	362,304,1389,175,172,	4878.16666666667	FALSE	89.2005133467405	5.36,298.32,15.17,117.48,9.67	2
AT1G06040	AT1G06040.1	4	492,80,321,414,	3832.33333333333	FALSE	87.8781811646659	2.28,337.42,9.13,2.68	2
AT5G66190	AT5G66190.1	10	307,235,63,78,92,79,129,4,229,292,	8798.33333333333	FALSE	87.3778788707966	50.11,253.81,16.11,20.92,31.25,30.98,69,0.85,393.79,6.96	9
AT5G19940	AT5G19940.1	6	294,124,180,139,96,250,	2318.33333333333	FALSE	82.50472671628	141.99,145.89,96.69,65.17,0.48,44.81	2
AT1G09140	AT1G09140.1	13	338,58,337,78,113,57,50,58,47,103,75,66,230,	3778.83333333333	FALSE	81.5630330767555	21.35,4.38,891.2,2.12,12.87,8.29,2.4,2.05,7.51,51.1,16.71,11.26,29.1	3
AT1G23080	AT1G23080.1	11	27,230,89,77,78,158,439,86,271,11,1353,	4249.33333333333	FALSE	81.3951682684697	0.61,8.4,78.53,3.69,54.82,0.36,668.02,4.46,16.8,0.52,59.14	7
AT4G34710	AT4G34710.1	4	2404,95,369,37,	13857.5	FALSE	79.4182491554832	3.93,312.92,0.05,0.78	2
AT5G40810	AT5G40810.1	9	110,89,327,212,280,72,117,66,434,	2618.33333333333	FALSE	79.1995425783249	6.29,0.32,624.37,44.38,4.61,5.4,1.93,7.28,18.22	3
AT3G61430	AT3G61430.2	6	136,123,387,296,141,318,	3702.83333333333	FALSE	78.6028303062356	76.57,393.23,0.94,0.62,0.25,0	2
AT2G30550	AT2G30550.2	4	10,1368,220,395,	1312.66666666667	FALSE	77.4740150750281	0.28,5.11,120.69,183.81	4
AT1G15340	AT1G15340.1	4	1049,154,105,278,	2675.66666666667	FALSE	76.8973189837282	12.88,287.91,3.29,3.52	2
AT5G64400	AT5G64400.1	7	104,57,87,170,287,273,32,	1763.33333333333	FALSE	76.0588782519896	21.64,11.26,10.08,24.37,359.37,11.01,94.69	5
AT5G22640	AT5G22640.1	13	708,72,90,174,91,63,67,104,127,191,355,219,551,	8317.83333333333	FALSE	75.7296132039282	15.46,0.05,3.38,10.1,2.62,0.78,0.53,5.01,4.04,3.72,931.24,1.42,6.12	11
AT1G74510	AT1G74510.1	5	159,104,69,330,1683,	1069	FALSE	73.2333263249566	23.6,95.66,2.72,225.68,18.5	4
AT1G24510	AT1G24510.1	11	404,114,167,103,53,133,349,319,211,325,19,	4864	FALSE	71.2097905417283	1.75,4.23,3.58,0.1,7.55,1.47,4.02,14.66,669.78,4.95,NA	9
AT5G35980	AT5G35980.1	19	729,200,154,110,70,83,79,41,123,151,115,83,75,75,818,122,156,299,417,	6093.83333333333	FALSE	70.6375359888569	53.55,14.91,8.96,11.96,0.82,4.85,0.99,2.45,1.04,11.31,1.63,0.85,2.96,6.83,21.05,113.89,237.79,467.53,378.73	18
AT1G64770	AT1G64770.3	6	375,524,435,101,67,344,	2807.83333333333	FALSE	69.2150942080738	37.52,20.33,6.47,127.07,32.38,191.52	6
AT1G31540	AT1G31540.2	8	300,415,1182,147,411,297,1117,517,	3256.33333333333	FALSE	69.0933131432049	77.07,107.93,165.44,65.78,7.31,28.25,64.2,36.76	3
AT3G09820	AT3G09820.1	14	103,120,54,289,47,32,102,68,77,98,71,67,184,463,	4996.16666666667	FALSE	68.7437259419353	25.3,75.23,53.66,648.32,30.59,14.38,55.43,5.09,0.01,18.98,6.4,0.09,16.71,12.23	4
AT1G04080	AT1G04080.3	18	30,149,269,110,230,62,168,394,101,64,144,153,117,231,306,102,318,75,	4028.83333333333	FALSE	68.4729145754979	39.36,84.43,260.64,104.52,251.45,142.13,21.67,45.78,81.66,39.89,31.64,16.59,5.53,46.33,33.41,15,12.14,0.36	3
AT2G03680	AT2G03680.1	4	79,274,297,283,	1295.16666666667	FALSE	67.8454037182597	51.05,210.58,0.28,9.47	2
AT5G52530	AT5G52530.1	8	21,337,15,109,237,1316,1290,51,	4342.33333333333	FALSE	67.1844225586072	52.49,346.93,10.47,86.06,4.24,3.89,0.53,32.86	2
AT5G20730	AT5G20730.2	18	24,254,43,116,191,1979,139,196,2,165,91,85,156,57,96,113,584,70,	5117.16666666667	FALSE	65.1742179280827	255.77,707.21,21.9,9.48,4.97,27.09,1.82,7.09,0.03,13.19,6.04,14.46,13.8,3.4,7.45,1.11,13.17,NA	2
AT5G07090	AT5G07090.1	8	16,16,99,78,181,98,701,0,	3332.16666666667	FALSE	63.0776009073937	0.12,3.52,231.71,82.91,82.43,35.72,5.13,NA	3
AT2G30620	AT2G30620.1	7	630,262,211,197,117,74,151,	2157.16666666667	FALSE	63.0523982025329	23.86,8.63,278.64,7.04,58.25,1.9,NA	3
AT4G31170	AT4G31170.1	7	239,417,944,43,71,108,128,	1776.5	FALSE	62.8662519058308	8,250.78,26.22,9.64,49.04,11.43,84.95	2
AT5G19950	AT5G19950.1	9	240,117,177,5,293,219,214,168,353,	573.333333333333	FALSE	62.5372105974747	59.27,52.48,33.34,NA,77.92,59.14,49.79,78.19,90.17	9
AT5G15950	AT5G15950.1	5	102,70,253,1578,48,	4656.16666666667	FALSE	62.4384179775073	28.81,54.32,166.39,0.24,NA	3
AT3G01390	AT3G01390.1	6	4,405,101,106,221,63,	915.833333333333	FALSE	61.6836664618769	0.13,57.27,28.77,19.86,194.63,69.44	5
AT4G10920	AT4G10920.2	5	579,184,127,106,396,	450.833333333333	FALSE	59.2155201682018	180.05,85.28,0.02,9.05,21.68	1
AT4G12040	AT4G12040.1	5	6,212,391,671,3,	568.166666666667	FALSE	58.844750007747	3.91,5.55,214.93,33,36.83	3
AT1G18730	AT1G18730.1	9	93,42,2,175,56,72,452,67,231,	951.333333333333	FALSE	58.5214036044473	16.26,9.02,NA,20.49,14.96,12.72,277.68,NA,NA	7
AT3G01360	AT3G01360.1	5	444,504,127,962,67,	342.333333333333	FALSE	58.0484177558816	50.32,95.39,36,50.48,NA	2
AT1G27450	AT1G27450.1	11	363,17,47,102,111,93,74,150,59,291,72,	1723.83333333333	FALSE	57.3227937493126	363.06,53.54,12.24,26.24,1.12,29.51,51.34,14.97,7.71,22.92,47.89	1
AT1G24020	AT1G24020.2	5	50,483,209,39,167,	917.833333333333	FALSE	56.9540796167922	17.45,24.71,27.8,59.11,155.69	5
